netName	maxScore	netType
ACTIVATION_OF_DNA_FRAGMENTATION_FACTOR	10	BRCA_mRNAArray-20160128
ACTIVATION_OF_THE_PRE-REPLICATIVE_COMPLEX	9	BRCA_mRNAArray-20160128
AMINE_COMPOUND_SLC_TRANSPORTERS	9	BRCA_mRNAArray-20160128
APOPTOSIS_INDUCED_DNA_FRAGMENTATION	10	BRCA_mRNAArray-20160128
BIOCARTA_ACE2_PATHWAY	10	BRCA_mRNAArray-20160128
BIOCARTA_DNAFRAGMENT_PATHWAY	10	BRCA_mRNAArray-20160128
BIOCARTA_GATA3_PATHWAY	10	BRCA_mRNAArray-20160128
BIOCARTA_HER2_PATHWAY	10	BRCA_mRNAArray-20160128
BIOCARTA_MCM_PATHWAY	10	BRCA_mRNAArray-20160128
BIOCARTA_MTA3_PATHWAY	10	BRCA_mRNAArray-20160128
BIOCARTA_P27_PATHWAY	10	BRCA_mRNAArray-20160128
BIOCARTA_P35ALZHEIMERS_PATHWAY	10	BRCA_mRNAArray-20160128
BIOTIN_TRANSPORT_AND_METABOLISM	9	BRCA_mRNAArray-20160128
BRANCHED-CHAIN_AMINO_ACID_CATABOLISM	8	BRCA_mRNAArray-20160128
CHOLESTEROL_BIOSYNTHESIS_I	10	BRCA_mRNAArray-20160128
CHOLESTEROL_BIOSYNTHESIS_II__VIA_24.25-DIHYDROLANOSTEROL_	10	BRCA_mRNAArray-20160128
CHOLESTEROL_BIOSYNTHESIS_III__VIA_DESMOSTEROL_	10	BRCA_mRNAArray-20160128
CLEC7A__DECTIN-1__INDUCES_NFAT_ACTIVATION	9	BRCA_mRNAArray-20160128
CREATINE_METABOLISM	9	BRCA_mRNAArray-20160128
CYP2E1_REACTIONS	8	BRCA_mRNAArray-20160128
DIGESTION	7	BRCA_mRNAArray-20160128
DIGESTION_OF_DIETARY_CARBOHYDRATE	10	BRCA_mRNAArray-20160128
DISSOLUTION_OF_FIBRIN_CLOT	8	BRCA_mRNAArray-20160128
ERBB_RECEPTOR_SIGNALING_NETWORK	10	BRCA_mRNAArray-20160128
FATTY_ACIDS	10	BRCA_mRNAArray-20160128
FATTY_ACYL-COA_BIOSYNTHESIS	8	BRCA_mRNAArray-20160128
FORMATION_OF_SENESCENCE-ASSOCIATED_HETEROCHROMATIN_FOCI__SAHF_	9	BRCA_mRNAArray-20160128
FOXA1_TRANSCRIPTION_FACTOR_NETWORK	9	BRCA_mRNAArray-20160128
GABA_SYNTHESIS._RELEASE._REUPTAKE_AND_DEGRADATION	10	BRCA_mRNAArray-20160128
GLUCURONIDATION	10	BRCA_mRNAArray-20160128
